price,distance,engine,city_mileage,highway_mileage
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"26,723","116,354 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"28,833","30,544 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
"42,996","9,400 miles",5.3L 8-Cylinder Gas Engine,17 City,20 Highway
"29,750","4,690 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,30 Highway
"36,500","24,760 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
,,,,
"29,990","12,703 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,30 Highway
"28,676","54,464 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
,,,,
,,,,
,,,,
,,,,
,,,,
"20,588","18,399 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
"20,061","13,472 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"33,998","43,869 miles",2.8L 4-Cylinder Turbo Diesel Engine,19 City,22 Highway
"79,464","6,260 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"77,592","12,548 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
,,,,
"43,998","4,902 miles",5.3L 8-Cylinder Gas Engine,14 City,17 Highway
,,,,
"32,977","24,512 miles",2.7L 4-Cylinder Turbo Gas Engine,20 City,23 Highway
,,,,
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"23,995","97,238 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
,,,,
"34,498","70,822 miles- Low Mileage",2.7L 4-Cylinder Turbo Gas Engine,19 City,22 Highway
"21,340","28,614 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
,,,,
,,,,
"37,989","14,884 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"37,989","31,836 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"45,989","15,568 miles",5.3L 8-Cylinder Gas Engine,16 City,21 Highway
,,,,
,,,,
"27,981","59,377 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"10,985","108,249 miles",5.7L 8-Cylinder Gas Engine,16 City,23 Highway
"36,979","23,416 miles",5.3L 8-Cylinder Gas Engine,15 City,21 Highway
"85,997","1,908 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"52,831","25,872 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,25 Highway
"12,353","70,252 miles",1.4L 4-Cylinder Turbo Gas Engine,30 City,40 Highway
,,,,
"22,960","8,691 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
"36,561","33,636 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
,,,,
"74,229","2,709 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"23,450","21,532 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"36,528","27,985 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
"26,977","69,768 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
"82,500","3,977 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"42,977","11,023 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"66,977","5,922 miles",3.0L 6-Cylinder Turbo Diesel Engine,16 City,20 Highway
"60,322","22,289 miles",6.2L 8-Cylinder Gas Engine,15 City,26 Highway
"76,000","1,078 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"15,400","67,363 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
,,,,
,,,,
,,,,
,,,,
"61,900","25,692 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,23 Highway
,,,,
"70,990","10,890 miles",6.2L 8-Cylinder Supercharged Gas Engine,15 City,22 Highway
"17,988","114,405 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"22,998","29,856 miles",1.3L 3-Cylinder Turbo Gas Engine,28 City,31 Highway
"39,990","19,912 miles",4.3L 6-Cylinder Gas Engine,19 City,22 Highway
,,,,
"61,699","14,599 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"28,991","34,343 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
,,,,
"61,500","38,453 miles",6.2L 8-Cylinder Gas Engine,15 City,20 Highway
,,,,
"69,844","15,481 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"20,195","48,150 miles",2.5L 4-Cylinder Gas Engine,22 City,29 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
"27,768","91,334 miles- Low Mileage",2.7L 4-Cylinder Turbo Gas Engine,20 City,23 Highway
"19,711","134,088 miles- Low Mileage",4.3L 6-Cylinder Flexible Fuel Engine,18 City,24 Highway
"73,977","10,622 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"53,488","35,443 miles",6.2L 8-Cylinder Gas Engine,15 City,25 Highway
,,,,
"42,496","43,163 miles",6.2L 8-Cylinder Gas Engine,19 City,22 Highway
"67,000","21,150 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"79,750","11,710 miles",6.2L 8-Cylinder Gas Engine,14 City,18 Highway
"49,988","22,542 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,25 Highway
"17,777","77,757 miles",5.7L 8-Cylinder Gas Engine,16 City,23 Highway
"23,400","42,901 miles",6.0L 8-Cylinder Gas Engine,15 City,25 Highway
,,,,
,,,,
"35,994","42,294 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"44,000","6,324 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"74,995","4,502 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"49,991","50,841 miles",6.2L 8-Cylinder Supercharged Gas Engine,14 City,20 Highway
,,,,
,,,,
,,,,
"35,991","24,190 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
,,,,
"22,988","35,860 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"28,988","53,001 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
,,,,
"31,500","50,216 miles",2.7L 4-Cylinder Turbo Gas Engine,20 City,23 Highway
"29,974","26,922 miles",3.6L 6-Cylinder Gas Engine,18 City,29 Highway
"51,860","2,664 miles",6.2L 8-Cylinder Gas Engine,18 City,21 Highway
,,,,
"29,682","68,960 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"63,992","14,819 miles",6.2L 8-Cylinder Gas Engine,14 City,17 Highway
"31,500","14,764 miles",3.6L 6-Cylinder Gas Engine,18 City,29 Highway
"30,299","50,906 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"21,996","44,544 miles",5.7L 8-Cylinder Gas Engine,17 City,26 Highway
"33,998","35,660 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"34,995","23,891 miles",3.6L 6-Cylinder Gas Engine,20 City,27 Highway
"23,777","84,588 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
,,,,
,,,,
,,,,
"36,799","12,342 miles",3.6L 6-Cylinder Gas Engine,19 City,27 Highway
,,,,
"21,777","37,071 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,31 Highway
"27,450","18,604 miles",1.3L 3-Cylinder Turbo Gas Engine,26 City,30 Highway
"26,000","15,182 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,31 Highway
,,,,
"46,000","1,275 miles",3.6L 6-Cylinder Gas Engine,19 City,26 Highway
,,,,
,,,,
"73,000","15,656 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"52,998","11,476 miles",5.3L 8-Cylinder Gas Engine,17 City,21 Highway
"56,318","48,025 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,25 Highway
"78,462","9,594 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"77,997","3,456 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"22,398","11,123 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,27 City,35 Highway
"25,520","67,868 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"9,500","173,047 miles- Low Mileage",5.7L 8-Cylinder Gas Engine,16 City,23 Highway
"18,995","54,488 miles",5.7L 8-Cylinder Gas Engine,16 City,23 Highway
"58,995","25,860 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,26 Highway
,,,,
"73,995","2,162 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
"78,995","2,692 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"39,995","29,759 miles",5.3L 8-Cylinder Gas Engine,16 City,21 Highway
"41,995","19,169 miles",6.2L 8-Cylinder Gas Engine,16 City,27 Highway
,,,,
"24,996","106,509 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,22 Highway
"26,998","27,026 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"22,800","90,748 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
"57,477","58,459 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"75,377","2,596 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"41,000","19,383 miles",2.7L 4-Cylinder Turbo Gas Engine,17 City,18 Highway
"24,800","106,117 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"33,998","43,869 miles",2.8L 4-Cylinder Turbo Diesel Engine,19 City,22 Highway
"12,995","110,259 miles",5.7L 8-Cylinder Gas Engine,16 City,24 Highway
"48,500","5,064 miles",3.6L 6-Cylinder Gas Engine,17 City,25 Highway
"19,898","41,894 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"35,599","54,975 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"33,900","19,692 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"79,987","1,115 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
,,,,
"19,400","9,591 miles",1.4L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"24,300","44,131 miles",3.6L 6-Cylinder Gas Engine,20 City,26 Highway
"26,500","29,813 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,31 Highway
"33,800","43,323 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"36,000","10,998 miles",2.7L 4-Cylinder Turbo Gas Engine,19 City,22 Highway
"44,500","7,225 miles",3.6L 6-Cylinder Gas Engine,19 City,26 Highway
,,,,
"42,511","6,726 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
,,,,
"23,990","39,580 miles",2.5L 4-Cylinder Gas Engine,20 City,26 Highway
"24,994","61,183 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
,,,,
"29,984","51,385 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
,,,,
"29,821","87,000 miles",6.2L 8-Cylinder Gas Engine,15 City,24 Highway
"33,952","29,643 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
,,,,
"47,298","15,048 miles",6.2L 8-Cylinder Gas Engine,16 City,21 Highway
,,,,
"30,000","104,095 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,22 Highway
"65,000","25,589 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"69,500","22,102 miles",6.2L 8-Cylinder Gas Engine,14 City,20 Highway
"82,500","4,096 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"86,500","1,806 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
,,,,
,,,,
,,,,
"20,997","99,364 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"18,977","131,319 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
,,,,
"30,998","62,640 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"24,498","20,830 miles",2.0L 4-Cylinder Turbo Gas Engine,20 City,30 Highway
,,,,
"20,000","28,324 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"24,000","20,235 miles",1.3L 3-Cylinder Turbo Gas Engine,29 City,33 Highway
"35,000","1,849 miles",2.0L 4-Cylinder Turbo Gas Engine,19 City,28 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"55,899","13,540 miles",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
"15,500","134,870 miles- Low Mileage",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"21,896","27,804 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,27 City,35 Highway
"41,700","48,609 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"46,700","1,828 miles",6.2L 8-Cylinder Gas Engine,16 City,26 Highway
,,,,
,,,,
,,,,
"22,500","52,241 miles",3.6L 6-Cylinder Gas Engine,19 City,28 Highway
"71,500","14,802 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"72,000","3,760 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,21 Highway
"16,990","14,011 miles",1.4L 4-Cylinder Turbo Gas Engine,29 City,40 Highway
"16,900","54,475 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,32 Highway
"23,594","30,465 miles",3.6L 6-Cylinder Gas Engine,19 City,29 Highway
,,,,
"19,564","33,350 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"36,505","92,867 miles",6.2L 8-Cylinder Gas Engine,16 City,20 Highway
"14,488","97,642 miles",2.4L 4-Cylinder Gas Engine,22 City,31 Highway
,,,,
,,,,
"71,888","33,698 miles- Low Mileage",6.2L 8-Cylinder Supercharged Gas Engine,13 City,23 Highway
"78,990","8,293 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,21 Highway
"82,129","4,634 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
,,,,
"36,500","10,989 miles",3.6L 6-Cylinder Gas Engine,18 City,27 Highway
"54,995","44,459 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
"54,000","19,036 miles",6.2L 8-Cylinder Gas Engine,15 City,19 Highway
,,,,
"191,388","3,304 miles- Low Mileage",5.5L 8-Cylinder Gas Engine,12 City,21 Highway
,,,,
,,,,
"31,492","71,345 miles",5.3L 8-Cylinder Gas Engine,17 City,22 Highway
,,,,
,,,,
"33,963","80,115 miles",3.0L 6-Cylinder Turbo Diesel Engine,19 City,22 Highway
,,,,
"62,500","9,649 miles",6.2L 8-Cylinder Supercharged Gas Engine,14 City,20 Highway
"17,374","46,982 miles",2.4L 4-Cylinder Gas Engine,22 City,31 Highway
"18,874","38,253 miles",5.7L 8-Cylinder Gas Engine,15 City,23 Highway
,,,,
"56,874","47,601 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
,,,,
,,,,
,,,,
"22,889","17,523 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"22,989","13,857 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"24,389","28,512 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"67,549","14,095 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"24,500","74,738 miles- Low Mileage",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"29,500","30,359 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
